Crop	N	P	K	Temperature	humidity	pH	Rainfall	State	Season	Price
rice	66.55	42.78	40.79	26.5	82.88	7.32	225.04	Punjab	Rabi	32.04
rice	87.62	50.68	36.02	25.41	84.25	6.7	194.53	Maharashtra	Kharif	110.69
rice	77.14	44.26	40.06	22.39	84.25	7.14	192.66	Tamil Nadu	Post-Monsoon	215.12
rice	77.42	53.34	44.65	21.89	84.04	6.58	238.02	Karnataka	Zaid	103.47
rice	69.82	58.37	37.79	23.16	83.75	6.64	260.18	Tamil Nadu	Kharif	153.35
rice	73.0	47.19	38.55	21.81	81.4	6.69	285.61	Maharashtra	Kharif	159.82
rice	67.64	41.03	39.06	23.89	81.2	6.45	265.42	Karnataka	Kharif	36.99
rice	68.86	52.29	38.06	24.07	82.37	6.56	231.06	Punjab	Zaid	112.03
rice	78.15	42.67	37.31	25.05	81.58	6.99	294.11	Punjab	Rabi	65.55
rice	89.54	41.91	40.9	25.32	82.98	7.46	279.92	Tamil Nadu	Rabi	114.66
rice	72.09	52.7	36.27	20.32	80.27	6.08	293.29	Punjab	Post-Monsoon	39.75
rice	60.49	42.11	39.79	22.38	84.83	6.0	283.41	Uttar Pradesh	Kharif	126.21
rice	62.96	50.74	35.54	21.04	82.81	6.11	299.27	Uttar Pradesh	Post-Monsoon	185.83
rice	91.63	40.64	40.23	23.15	82.21	7.22	298.8	Tamil Nadu	Kharif	186.79
rice	89.6	58.69	37.08	21.48	83.3	5.81	200.86	Uttar Pradesh	Rabi	10.78
rice	78.02	49.85	37.91	21.62	83.53	6.91	234.48	Punjab	Rabi	277.93
rice	91.51	50.63	41.61	26.54	82.13	6.59	257.72	Tamil Nadu	Rabi	30.71
rice	66.64	42.69	42.49	23.98	81.44	5.75	262.64	Punjab	Post-Monsoon	283.38
rice	80.02	47.34	35.8	20.28	82.16	6.14	210.04	Uttar Pradesh	Rabi	288.95
rice	93.44	49.38	44.51	27.0	83.36	6.04	184.83	West Bengal	Post-Monsoon	160.5
rice	77.69	41.95	44.97	23.05	84.07	7.44	236.4	Karnataka	Zaid	103.11
rice	64.18	39.02	39.12	23.47	83.31	6.3	271.26	Uttar Pradesh	Post-Monsoon	35.54
rice	70.1	37.9	42.73	26.05	84.12	5.5	284.32	Karnataka	Post-Monsoon	25.72
rice	80.74	50.57	39.98	23.09	80.26	6.03	195.72	Tamil Nadu	Post-Monsoon	265.45
rice	79.39	35.72	41.3	25.6	83.55	6.12	181.64	Karnataka	Kharif	75.16
rice	93.66	37.84	44.47	24.53	80.77	7.37	215.02	Punjab	Zaid	130.49
rice	79.3	46.81	39.57	21.01	80.95	6.7	269.56	West Bengal	Kharif	90.11
rice	91.6	45.37	44.34	23.55	84.1	6.07	215.83	Maharashtra	Post-Monsoon	260.93
rice	77.86	47.11	38.32	25.34	81.89	7.37	284.35	Punjab	Rabi	175.82
rice	69.34	54.39	35.44	25.21	83.53	7.12	226.33	Punjab	Rabi	153.65
rice	61.48	47.56	40.9	26.09	84.37	6.38	243.11	Karnataka	Kharif	219.51
rice	76.4	51.37	36.54	23.29	84.85	6.18	263.12	Punjab	Kharif	257.01
rice	94.09	56.48	38.8	22.22	83.59	7.02	284.69	Uttar Pradesh	Kharif	78.08
rice	87.38	42.18	37.27	20.63	84.89	7.02	264.47	Uttar Pradesh	Post-Monsoon	58.25
rice	71.98	35.72	38.24	20.39	81.79	6.36	209.3	Karnataka	Rabi	59.3
rice	63.16	56.77	41.2	21.69	84.56	5.79	235.34	Tamil Nadu	Post-Monsoon	84.04
rice	60.38	55.12	44.01	24.74	80.79	6.38	221.47	Maharashtra	Zaid	195.29
rice	76.97	41.25	43.45	21.39	81.92	6.47	208.46	Maharashtra	Zaid	176.7
rice	99.71	42.38	44.78	24.61	81.37	6.63	262.3	Punjab	Kharif	274.08
rice	89.81	55.82	44.03	25.43	81.15	7.1	206.28	West Bengal	Zaid	206.55
rice	88.84	51.48	43.38	24.4	84.52	6.79	217.07	Karnataka	Kharif	178.08
rice	89.29	37.25	37.95	25.23	80.88	5.76	244.73	Tamil Nadu	Zaid	250.84
rice	70.28	55.62	39.82	25.65	83.73	6.18	193.82	Uttar Pradesh	Rabi	228.7
rice	69.02	51.91	41.74	22.78	84.23	6.61	190.84	Karnataka	Kharif	86.69
maize	64.94	44.21	22.49	20.36	61.48	6.46	78.57	Punjab	Rabi	146.73
maize	84.78	58.58	18.28	23.49	66.01	6.45	83.21	Punjab	Zaid	198.28
maize	64.67	36.13	15.37	26.96	56.97	5.85	86.88	Karnataka	Post-Monsoon	117.59
maize	97.98	52.41	20.4	23.29	67.35	6.83	92.75	Karnataka	Post-Monsoon	282.33
maize	71.19	52.26	17.17	22.0	59.01	6.04	109.05	Tamil Nadu	Zaid	27.56
maize	71.04	59.21	24.49	25.42	56.56	5.82	91.97	Uttar Pradesh	Kharif	238.17
maize	69.74	38.15	20.65	18.62	68.01	5.81	70.8	West Bengal	Zaid	234.57
maize	91.55	49.9	17.77	26.86	71.79	6.31	99.93	Uttar Pradesh	Kharif	48.22
maize	74.33	54.71	20.89	18.14	59.51	5.69	81.05	Uttar Pradesh	Kharif	148.11
maize	91.12	47.83	16.09	22.53	71.07	5.57	99.16	Punjab	Zaid	142.83
maize	98.56	36.52	19.79	21.61	66.66	6.24	105.49	Uttar Pradesh	Kharif	103.41
maize	65.93	38.15	21.24	23.27	67.11	6.07	89.87	Tamil Nadu	Post-Monsoon	156.61
maize	77.21	54.83	16.14	23.89	69.92	6.33	103.27	Karnataka	Post-Monsoon	267.55
maize	76.55	55.69	18.99	24.57	60.31	5.97	72.74	West Bengal	Post-Monsoon	29.47
maize	93.27	37.33	15.97	24.65	68.8	6.33	89.32	Maharashtra	Zaid	204.3
maize	76.43	56.84	24.41	21.81	70.57	5.58	74.38	Tamil Nadu	Zaid	40.04
maize	80.3	38.87	19.82	25.63	60.95	6.33	65.74	Tamil Nadu	Rabi	244.09
maize	93.81	59.36	23.18	23.52	65.93	5.54	106.45	Punjab	Zaid	18.4
maize	70.93	54.06	24.22	21.16	58.08	5.71	92.87	Uttar Pradesh	Rabi	224.88
maize	98.87	37.29	20.3	21.39	62.71	5.74	75.58	Tamil Nadu	Kharif	266.17
maize	66.22	53.86	15.5	18.73	62.53	6.14	90.35	Karnataka	Zaid	72.51
maize	80.49	43.63	16.11	24.1	65.08	6.29	75.42	West Bengal	Post-Monsoon	295.49
maize	62.19	40.11	24.45	24.91	67.99	5.93	66.0	Karnataka	Post-Monsoon	60.95
maize	75.21	52.59	20.0	25.5	68.71	5.61	103.09	Uttar Pradesh	Post-Monsoon	15.44
maize	96.85	56.55	20.76	23.16	67.06	6.13	65.76	Uttar Pradesh	Zaid	59.84
maize	97.9	46.5	21.9	21.26	62.42	5.66	81.78	Karnataka	Kharif	124.77
maize	72.41	43.49	18.33	19.51	63.68	5.67	85.5	Tamil Nadu	Zaid	220.94
maize	92.76	55.38	17.36	19.32	58.35	6.4	98.01	Punjab	Kharif	61.37
maize	90.91	47.35	22.54	24.84	62.63	6.89	88.22	Punjab	Zaid	260.63
maize	85.09	38.77	15.68	21.98	60.15	5.91	62.81	Maharashtra	Kharif	100.02
maize	78.08	36.42	23.32	18.69	69.69	6.78	90.75	Maharashtra	Post-Monsoon	144.19
maize	82.17	54.8	23.96	22.05	68.77	6.48	76.08	Karnataka	Rabi	287.74
maize	78.02	55.27	23.37	26.84	56.43	6.47	61.96	Punjab	Post-Monsoon	297.39
maize	80.96	50.25	18.64	26.26	61.59	6.66	93.94	Uttar Pradesh	Zaid	29.11
maize	63.78	51.96	17.84	24.51	66.16	6.86	103.66	Tamil Nadu	Kharif	178.99
maize	65.66	43.75	24.68	24.29	61.66	6.39	106.9	Tamil Nadu	Post-Monsoon	196.61
maize	73.14	38.19	22.03	26.52	71.95	6.87	64.67	Punjab	Post-Monsoon	157.46
maize	60.73	42.72	24.51	21.08	68.02	5.79	110.0	West Bengal	Kharif	95.78
maize	91.52	47.69	20.4	24.65	63.95	6.49	103.82	Maharashtra	Rabi	183.2
maize	66.17	39.52	21.93	23.62	70.35	6.58	62.18	Tamil Nadu	Rabi	291.18
maize	84.42	53.81	22.84	20.11	59.07	6.95	99.22	West Bengal	Zaid	206.71
maize	82.82	46.01	22.69	25.0	63.55	6.13	68.1	West Bengal	Rabi	263.17
maize	62.09	47.01	18.71	26.41	67.09	6.27	66.23	Uttar Pradesh	Rabi	89.11
maize	96.21	38.68	19.37	26.52	58.77	6.18	77.48	Uttar Pradesh	Post-Monsoon	25.44
maize	80.08	40.89	24.95	21.37	55.48	6.9	101.96	Punjab	Zaid	239.5
maize	65.5	42.17	23.3	24.26	57.36	6.56	82.43	Uttar Pradesh	Kharif	15.51
maize	68.63	38.74	24.4	23.48	62.2	6.66	71.88	Uttar Pradesh	Kharif	79.15
maize	85.56	50.57	15.63	25.53	63.5	6.3	91.6	Maharashtra	Rabi	218.38
maize	71.65	35.04	18.53	23.14	58.18	6.5	86.17	Tamil Nadu	Kharif	286.49
maize	81.76	54.66	20.08	18.18	69.85	5.57	79.34	Tamil Nadu	Zaid	226.72
maize	74.28	36.69	17.41	23.91	56.76	6.37	97.83	West Bengal	Kharif	112.17
maize	73.54	51.07	23.3	24.16	71.67	6.22	69.11	West Bengal	Kharif	217.65
maize	97.74	35.92	17.02	25.12	70.06	5.97	75.5	Karnataka	Post-Monsoon	83.46
maize	90.13	39.78	18.57	25.03	69.72	6.0	66.22	Tamil Nadu	Post-Monsoon	267.95
maize	89.73	57.37	18.87	26.76	63.44	6.25	106.22	Maharashtra	Zaid	242.33
maize	89.08	36.97	21.02	25.4	64.27	5.98	64.0	Punjab	Zaid	98.88
maize	84.1	45.65	21.9	21.16	55.72	6.81	77.63	Karnataka	Zaid	195.45
maize	91.66	36.43	21.71	21.66	63.72	6.62	68.0	Uttar Pradesh	Rabi	256.11
maize	87.12	45.95	16.26	20.12	65.97	6.04	107.47	Uttar Pradesh	Rabi	206.93
maize	97.95	44.3	22.63	23.17	64.0	6.1	92.48	West Bengal	Kharif	17.51
maize	67.44	47.94	24.14	19.06	68.17	6.56	70.73	Maharashtra	Zaid	211.25
maize	99.95	40.0	16.36	18.67	57.94	6.57	109.86	Punjab	Zaid	203.67
maize	88.38	48.75	17.9	20.7	57.68	6.56	95.01	West Bengal	Zaid	157.54
maize	64.85	40.02	16.39	25.11	55.45	6.33	78.45	Maharashtra	Rabi	187.47
maize	63.45	42.73	25.0	24.47	63.94	6.65	101.17	Uttar Pradesh	Rabi	291.99
maize	85.69	46.25	21.8	21.1	69.93	6.67	91.99	West Bengal	Rabi	135.46
maize	96.43	36.39	16.24	19.38	57.8	5.98	95.47	Tamil Nadu	Zaid	255.32
maize	70.02	50.88	20.51	19.13	60.15	6.3	85.13	West Bengal	Rabi	59.65
maize	84.98	57.55	18.38	26.32	55.7	6.8	64.06	Punjab	Zaid	198.83
maize	90.68	45.41	21.39	22.48	65.66	5.93	107.83	Karnataka	Rabi	243.36
maize	87.4	42.44	15.73	18.54	62.47	6.23	70.2	Maharashtra	Rabi	100.65
maize	88.73	53.35	23.61	26.78	57.22	6.06	88.08	Tamil Nadu	Rabi	145.28
maize	70.7	41.2	15.97	20.61	61.53	6.42	72.41	West Bengal	Zaid	280.79
maize	88.85	39.75	16.59	26.96	62.94	6.82	84.87	Uttar Pradesh	Post-Monsoon	156.58
maize	98.67	40.38	18.53	18.45	63.41	6.82	92.71	Karnataka	Zaid	165.64
maize	93.89	45.77	23.82	24.55	67.99	6.05	80.03	Maharashtra	Rabi	115.13
maize	71.54	44.66	19.5	22.95	69.03	6.43	90.55	West Bengal	Kharif	124.23
maize	91.8	43.48	24.39	24.79	58.38	6.26	85.0	Uttar Pradesh	Kharif	49.74
maize	73.32	46.84	19.57	23.46	63.76	5.99	90.65	West Bengal	Post-Monsoon	297.28
maize	89.57	42.48	18.36	25.45	64.05	6.56	74.99	Uttar Pradesh	Zaid	106.06
maize	64.38	45.41	18.08	26.09	69.83	6.44	89.85	Tamil Nadu	Rabi	219.21
maize	83.34	39.26	21.29	23.58	69.3	5.72	94.04	Uttar Pradesh	Kharif	65.33
maize	77.64	45.47	19.13	19.84	63.53	6.42	83.58	Punjab	Kharif	214.67
maize	80.75	49.02	24.98	22.31	61.41	6.94	82.98	Maharashtra	Zaid	168.42
maize	87.03	56.69	21.81	25.23	59.49	6.23	107.87	Tamil Nadu	Zaid	75.21
maize	98.92	42.44	17.89	19.87	66.98	5.98	77.44	Punjab	Zaid	93.46
maize	82.94	48.58	23.96	21.55	60.87	6.66	67.32	Uttar Pradesh	Zaid	287.04
maize	63.16	58.1	21.56	24.73	58.64	6.74	73.56	Maharashtra	Zaid	49.81
maize	84.63	49.67	17.42	24.03	64.03	6.46	62.62	Karnataka	Zaid	218.03
maize	64.02	54.27	15.05	22.95	70.79	6.11	106.75	Karnataka	Post-Monsoon	198.66
maize	90.24	42.18	17.85	18.53	68.07	6.48	71.61	Punjab	Kharif	274.84
maize	67.0	57.06	16.76	26.28	71.95	6.1	84.77	Punjab	Zaid	264.26
maize	60.37	49.2	16.07	26.85	59.84	6.98	87.17	Karnataka	Rabi	256.81
maize	78.72	39.82	16.13	19.46	62.8	5.89	69.31	Punjab	Zaid	239.32
maize	82.71	53.93	16.75	25.71	70.25	6.74	85.76	Uttar Pradesh	Post-Monsoon	204.08
maize	67.39	38.52	18.24	20.23	59.43	5.85	97.69	Tamil Nadu	Zaid	178.91
maize	82.92	41.54	18.6	20.13	66.35	6.2	67.99	Punjab	Zaid	210.18
maize	85.55	58.52	18.68	19.99	71.28	6.22	82.75	Maharashtra	Zaid	130.6
maize	81.97	46.77	20.38	23.98	58.71	5.87	97.74	Uttar Pradesh	Post-Monsoon	163.17
maize	74.47	57.93	16.12	25.46	70.35	5.8	86.83	West Bengal	Zaid	257.8
chickpea	43.84	68.61	84.34	19.89	21.19	6.39	62.23	West Bengal	Post-Monsoon	142.47
chickpea	36.15	64.25	86.14	22.23	17.17	7.13	89.83	Maharashtra	Kharif	23.13
chickpea	41.89	56.28	89.88	24.35	14.55	7.37	61.27	Karnataka	Rabi	233.0
chickpea	50.32	74.57	82.92	19.2	21.94	6.26	94.78	Karnataka	Post-Monsoon	33.27
chickpea	54.28	72.49	72.66	23.6	14.95	7.49	75.72	West Bengal	Rabi	252.1
chickpea	50.12	74.57	79.26	22.19	17.39	6.26	69.19	Karnataka	Zaid	54.99
chickpea	38.77	72.5	85.31	15.32	19.28	6.73	97.45	Uttar Pradesh	Rabi	69.76
chickpea	37.02	55.67	81.96	22.03	14.39	6.98	76.09	West Bengal	Rabi	228.77
chickpea	50.52	57.8	89.87	17.34	21.33	6.65	83.1	Punjab	Zaid	78.7
chickpea	52.53	74.71	80.43	19.14	16.2	6.61	83.67	Punjab	Rabi	191.54
chickpea	43.54	64.91	89.45	24.42	19.37	7.07	72.75	Karnataka	Post-Monsoon	53.27
chickpea	42.53	70.09	79.47	23.49	16.41	6.92	92.23	Uttar Pradesh	Post-Monsoon	290.66
chickpea	46.15	57.68	74.86	17.03	19.17	7.34	93.89	Uttar Pradesh	Rabi	24.95
chickpea	42.54	67.1	70.79	15.73	20.44	6.68	86.86	West Bengal	Post-Monsoon	70.58
chickpea	53.14	61.06	88.18	17.12	15.52	6.98	89.88	Karnataka	Rabi	211.73
chickpea	49.08	62.93	74.79	18.22	16.26	6.43	85.95	Tamil Nadu	Zaid	114.3
chickpea	52.66	64.32	86.06	22.22	20.09	6.14	68.13	Tamil Nadu	Post-Monsoon	23.26
chickpea	52.28	69.83	70.32	20.53	18.67	6.94	71.81	West Bengal	Zaid	76.71
chickpea	46.4	59.91	81.01	24.43	16.7	7.03	79.54	Punjab	Post-Monsoon	143.64
chickpea	49.66	62.04	72.8	20.47	15.47	7.28	99.61	Uttar Pradesh	Kharif	253.33
chickpea	36.49	71.36	70.97	15.06	15.1	6.76	62.72	West Bengal	Kharif	73.43
chickpea	44.12	56.21	82.75	24.34	21.3	6.82	60.63	Maharashtra	Post-Monsoon	13.44
chickpea	45.59	60.49	89.55	15.17	20.51	6.85	92.25	West Bengal	Kharif	276.23
chickpea	45.49	59.82	82.4	17.52	16.84	7.09	63.16	Karnataka	Post-Monsoon	173.85
chickpea	54.8	59.52	83.68	23.48	19.23	7.22	90.38	Uttar Pradesh	Post-Monsoon	119.99
chickpea	46.05	56.12	70.19	16.71	18.0	6.37	91.38	Maharashtra	Kharif	269.49
chickpea	53.38	59.6	88.03	21.92	18.53	6.04	96.97	Punjab	Zaid	270.8
chickpea	46.27	55.66	88.58	18.14	21.69	6.67	90.09	Punjab	Post-Monsoon	279.37
chickpea	40.99	66.28	81.33	23.49	19.42	6.58	75.35	Punjab	Rabi	239.24
chickpea	48.79	56.57	84.91	18.46	14.78	5.96	63.04	Maharashtra	Post-Monsoon	290.99
chickpea	41.53	67.68	85.67	19.51	15.83	6.61	75.02	West Bengal	Post-Monsoon	34.85
chickpea	47.37	70.96	84.26	15.82	15.23	6.92	85.36	Punjab	Post-Monsoon	101.84
chickpea	37.13	55.1	76.17	18.6	16.16	5.77	67.5	Karnataka	Post-Monsoon	39.95
chickpea	36.79	66.08	81.94	22.84	20.91	5.52	76.55	Uttar Pradesh	Rabi	175.87
chickpea	38.39	62.61	72.78	18.01	17.94	5.63	77.39	Karnataka	Zaid	150.43
chickpea	36.54	60.03	74.93	21.25	18.75	5.89	64.28	Tamil Nadu	Kharif	285.16
chickpea	41.64	67.4	86.08	18.3	16.68	7.13	94.38	Maharashtra	Rabi	97.13
chickpea	47.06	68.91	79.58	16.78	17.19	6.14	89.39	Punjab	Post-Monsoon	290.65
chickpea	50.64	61.52	75.61	22.86	16.92	7.36	67.99	Maharashtra	Rabi	207.7
chickpea	46.0	74.06	79.23	22.08	17.51	6.08	87.71	Karnataka	Post-Monsoon	50.36
chickpea	41.06	60.05	73.08	19.23	17.02	6.4	83.92	Maharashtra	Post-Monsoon	164.97
chickpea	53.47	72.39	78.37	15.37	21.75	6.9	92.49	Maharashtra	Kharif	41.72
chickpea	39.96	68.29	73.33	21.13	18.51	6.79	85.87	Tamil Nadu	Post-Monsoon	40.72
chickpea	36.97	59.44	84.94	20.58	19.5	5.94	74.96	Karnataka	Rabi	110.04
chickpea	35.49	57.09	78.32	24.62	14.93	7.38	65.67	Tamil Nadu	Zaid	142.05
chickpea	39.14	64.66	79.52	19.38	19.57	6.14	72.01	Punjab	Kharif	16.55
chickpea	41.86	57.19	86.0	24.3	19.92	6.53	82.08	Tamil Nadu	Post-Monsoon	287.95
chickpea	39.64	63.1	73.69	21.4	17.46	5.56	84.56	West Bengal	Post-Monsoon	181.74
chickpea	42.78	69.09	74.12	22.52	20.47	5.63	64.07	Maharashtra	Rabi	116.08
chickpea	38.94	57.28	83.41	19.89	21.73	6.13	75.55	Karnataka	Kharif	110.9
chickpea	51.91	67.35	86.27	22.06	16.38	6.73	63.39	West Bengal	Zaid	44.18
chickpea	41.11	58.66	83.87	20.11	17.35	5.78	75.35	West Bengal	Post-Monsoon	194.3
chickpea	48.87	67.91	90.0	20.55	17.92	5.78	72.58	Karnataka	Kharif	261.0
chickpea	54.04	64.69	73.9	18.84	18.49	6.81	76.37	Karnataka	Post-Monsoon	215.94
chickpea	43.88	58.35	81.31	22.96	15.76	5.57	68.99	Tamil Nadu	Rabi	236.41
chickpea	46.31	70.45	79.91	20.11	18.58	6.04	81.72	Tamil Nadu	Kharif	230.4
chickpea	43.83	59.37	78.5	22.36	19.23	6.0	94.99	Uttar Pradesh	Post-Monsoon	86.22
chickpea	52.24	56.74	87.31	16.17	20.5	5.92	89.5	Punjab	Zaid	259.7
chickpea	47.21	63.56	82.32	22.85	20.51	7.11	82.8	Maharashtra	Zaid	183.09
chickpea	38.37	74.58	75.85	20.73	21.62	6.53	96.01	Uttar Pradesh	Rabi	289.2
chickpea	50.71	73.38	89.85	23.67	15.02	7.23	69.99	Punjab	Zaid	250.26
chickpea	50.23	68.52	79.79	20.77	16.15	6.33	78.08	Punjab	Kharif	126.83
chickpea	50.0	68.89	87.55	19.55	17.9	6.66	94.76	Punjab	Kharif	221.97
chickpea	44.17	68.28	77.16	15.63	18.28	5.94	77.19	West Bengal	Post-Monsoon	87.88
chickpea	51.57	61.76	81.56	20.66	17.88	6.19	87.3	Uttar Pradesh	Kharif	38.88
chickpea	50.68	64.19	72.48	23.58	17.53	5.5	98.32	West Bengal	Rabi	265.82
chickpea	41.04	72.49	87.53	15.93	16.88	5.66	86.58	Punjab	Rabi	25.02
chickpea	47.51	69.52	85.1	19.29	14.73	5.69	68.54	Uttar Pradesh	Rabi	182.17
chickpea	45.39	63.9	70.16	18.44	14.96	7.22	87.76	Karnataka	Kharif	76.39
chickpea	36.79	71.12	72.06	18.68	16.39	6.27	92.53	West Bengal	Rabi	29.84
chickpea	46.27	67.21	73.28	18.51	15.7	7.0	96.8	Maharashtra	Post-Monsoon	259.39
chickpea	36.73	57.01	85.05	20.9	17.07	7.43	72.58	West Bengal	Rabi	90.32
chickpea	36.68	66.07	82.0	21.08	20.23	6.88	93.92	Punjab	Zaid	69.58
chickpea	47.14	58.77	77.84	21.46	20.27	7.09	69.57	Karnataka	Kharif	79.91
chickpea	47.76	56.42	87.77	15.12	16.89	6.13	75.47	Maharashtra	Post-Monsoon	115.97
chickpea	48.66	70.25	89.09	22.7	14.13	5.64	70.49	Uttar Pradesh	Kharif	285.12
chickpea	42.96	60.73	84.25	22.67	17.39	6.3	85.62	Maharashtra	Rabi	90.47
chickpea	41.2	65.23	74.06	23.08	18.29	6.28	85.37	Punjab	Kharif	99.95
chickpea	43.75	74.07	74.77	17.44	21.4	5.73	84.49	Uttar Pradesh	Zaid	203.16
chickpea	48.16	58.51	70.25	16.37	14.09	6.49	73.87	Maharashtra	Zaid	58.42
chickpea	37.54	70.62	75.38	23.86	20.17	5.56	92.28	Tamil Nadu	Kharif	86.26
chickpea	54.5	67.55	79.92	20.11	14.44	7.22	66.68	West Bengal	Zaid	234.27
chickpea	52.89	68.48	72.31	22.41	14.02	7.22	60.49	Uttar Pradesh	Post-Monsoon	115.55
chickpea	53.4	58.58	89.21	15.35	20.42	6.93	86.23	West Bengal	Zaid	82.0
chickpea	53.32	61.4	86.52	20.72	14.96	6.85	62.11	West Bengal	Kharif	286.68
